"代码","名称","报告期","行业","营业总收入(元)","同比增长(%)","季度环比增长(%)","销售商品、提供劳务收到的现金","销售商品、提供劳务收到的现金占比","净利润(元)","净利润同比(%)","季度环比增长(%)","销售毛利率(%)","总负债(元)","总负债同比(%)"
"000875","吉电股份","2018-12-31T00:00:00","电力行业","7301107308.38","43.0939","56.6776","5740373614.76","12.4956053345909","114608485.79","1.337547","174.1964","18.9898","29408814773.45","0.101068"
"000875","吉电股份","2017-12-31T00:00:00","电力行业","5102319332.17","15.8498","41.0391","4612401309.65","3.92371609783921","-339533874.19","-27.108113","-56.5876","11.0044","26709345005.99","0.243818"
"000875","吉电股份","2016-12-31T00:00:00","电力行业","4404523664.52","2.3826","45.7038","4126878969.15","4.85868438980366","13004918.23","-0.889559","-41.9293","20.1308","21473673010.43","0.185016""代码","名称","报告期","行业","营业总收入(元)","同比增长(%)","季度环比增长(%)","销售商品、提供劳务收到的现金","销售商品、提供劳务收到的现金占比","净利润(元)","净利润同比(%)","季度环比增长(%)","销售毛利率(%)","总负债(元)","总负债同比(%)"
"600667","太极实业","2019-03-31T00:00:00","电子元件","3807543549.66","7.4641","-13.9657","3171402383.48","4.0471716629685","95987007.84","0.205075","-53.1714","11.2115","10854544825.79","-0.065706"
"600667","太极实业","2018-12-31T00:00:00","电子元件","15651965830.16","30.0665","24.9287","15152091721.99","16.5866762743717","572925113.03","0.371323","25.8249","13.2529","10717759258","0.121699"
"600667","太极实业","2017-12-31T00:00:00","电子元件","12033819448.73","25.1414","24.358","11676991513.71","14.765996555066","417789999.25","0.796785","-7.0533","13.559","9554934092.05","-0.090245"
"600667","太极实业","2016-12-31T00:00:00","电子元件","9616175275.12","34.5531","553.4482","8812031369.26","290.404869432592","232520805.98","1.017398","1322.6177","14.8734","10502751792.65","0.1905""代码","名称","报告期","行业","营业总收入(元)","同比增长(%)","季度环比增长(%)","销售商品、提供劳务收到的现金","销售商品、提供劳务收到的现金占比","净利润(元)","净利润同比(%)","季度环比增长(%)","销售毛利率(%)","总负债(元)","总负债同比(%)"
"600584","长电科技","2019-03-31T00:00:00","电子元件","4514773490.97","-17.7708","-21.7699","5409211254.94","2.60763569653448","-46516845.29","-9.858982","95.1382","8.1048","19634245904.22","-0.042059"
"600584","长电科技","2018-12-31T00:00:00","电子元件","23856487366.62","0.0041","-14.9127","25200141629.18","10.2160742373017","-939315302.79","-3.735763","-14566.4931","11.4255","22132236947.35","0.047879"
"600584","长电科技","2017-12-31T00:00:00","电子元件","23855512379.95","24.5424","7.0019","25094596750.41","649.602196142936","343346784.01","2.228933","133.8313","11.7143","21120975295.4","-0.083568"
"600584","长电科技","2016-12-31T00:00:00","电子元件","19154527743.1","77.2415","1.7341","19563296531.91","37.6974430018778","106334424.75","1.044993","-4.8567","11.8192","23046963350.01","0.221393""代码","名称","报告期","行业","营业总收入(元)","同比增长(%)","季度环比增长(%)","销售商品、提供劳务收到的现金","销售商品、提供劳务收到的现金占比","净利润(元)","净利润同比(%)","季度环比增长(%)","销售毛利率(%)","总负债(元)","总负债同比(%)"
"300496","中科创达","2019-03-31T00:00:00","电子信息","334885053.5","19.1526","-40.7569","429704728.32","6.47472020386145","50598043.8","0.332665","-17.4432","43.5158","874968097.83","-0.129875"
"300496","中科创达","2018-12-31T00:00:00","电子信息","1464583745.46","26.0044","75.9995","1458525475.88","14.4091240656589","164304280.8","1.105269","46.0886","41.7082","1051911165.22","-0.221336"
"300496","中科创达","2017-12-31T00:00:00","电子信息","1162327240.88","37.0827","98.7341","1181331119.59","4.77844328624614","78044301.23","-0.351157","-68.4077","36.377","1350917995.93","0.698864"
"300496","中科创达","2016-12-31T00:00:00","电子信息","847902181.67","37.7665","48.0534","822734054.95","2.08295441286851","120282199.78","0.031497","-14.2411","46.4162","795189027.69","2.581904""代码","名称","报告期","行业","营业总收入(元)","同比增长(%)","季度环比增长(%)","销售商品、提供劳务收到的现金","销售商品、提供劳务收到的现金占比","净利润(元)","净利润同比(%)","季度环比增长(%)","销售毛利率(%)","总负债(元)","总负债同比(%)"
"000725","京东方A","2019-03-31T00:00:00","电子元件","26454258554","22.6619","-4.3054","28976834648","13.6800639330816","1051781919","-0.478979","1776.1303","17.6595","185428924766","0.186161"
"000725","京东方A","2018-12-31T00:00:00","电子元件","97108864935","3.527","6.3636","105589411120","23.1424227291088","3435127975","-0.546079","-86.1187","20.3922","183671193824","0.20976"
"000725","京东方A","2017-12-31T00:00:00","电子元件","93800479215","36.1486","-1.6579","102954356249","71.4205532454272","7567682493","3.019864","-49.7476","25.0724","151824479016","0.342167"
"000725","京东方A","2016-12-31T00:00:00","电子元件","68895658963","41.6914","18.873","68853018038","5.22719714439378","1882571674","0.150526","165.0733","17.8675","113118955882","0.52365""代码","名称","报告期","行业","营业总收入(元)","同比增长(%)","季度环比增长(%)","销售商品、提供劳务收到的现金","销售商品、提供劳务收到的现金占比","净利润(元)","净利润同比(%)","季度环比增长(%)","销售毛利率(%)","总负债(元)","总负债同比(%)"
"000050","深天马A","2019-03-31T00:00:00","电子元件","6926760995.62","5.4632","-3.4211","8035043591.94","10.8860803299642","289479369.93","-0.354007","182.8186","13.8943","34932905528.81","0.025683"
"000050","深天马A","2018-12-31T00:00:00","电子元件","28911543960.79","21.3543","-7.6185","30620754489.49","18.4896024825061","925542329.07","-0.151746","-180.3647","15.1907","34032259410.13","0.124467"
"000050","深天马A","2017-12-31T00:00:00","电子元件","23824088277.6","30.5096","0.3681","24373368041.5","93.1572649820013","1091114392.87","0.418195","-82.3938","20.1918","30265242959.99","0.916255"
